topographic_object_identifiers,starts_at,ends_at,location_link_type_names,historical_sources,location_identifiers
1,1379,1560,dokładnie,#Garbacz_2021,1
2,1525,1830,obok,#Kunkel_1989,2
3,1356,1864,dokładnie,#KZSP_SW,3
4,1356,1400,dokładnie,#KZSP_SW,4
5,1356,1441,wśród,#KZSP_SW,3
6,1356,,obok,#KZSP_SW,4
7,1400,1478,dokładnie,#KZSP_SW,4
8,1494,1631,dokładnie,#KZSP_SW,4
9,1631,1944,dokładnie,#KZSP_SW,4
10,1441,1864,wśród,#KZSP_SW,3
11,1650,1864,dokładnie,#KZSP_SW,5
12,1650,1864,wśród,#KZSP_SW,3
13,1650,1864,wśród,#KZSP_SW,3
14,1701,1864,wśród,#KZSP_SW,3
15,1483,1864,obok,#Knapinski_1949,4
16,1780,1864,wśród,#KZSP_SW,3
17,1339,1453,dokładnie,#Kunkel_2006,6
18,1453,1819,dokładnie,#Kunkel_2006,6
19,1450,1818,obok,#Kunkel_2006,6
21,1892,1939,dokładnie,#MiejskieElewatory,7
24,1522,1569,przybliżona,#Mrozowski_2020,8
24,1643,,przybliżona,#Jarzębski_1974,8
25,1823,2000,dokładnie,,9
26,1823,1961,dokładnie,,10
26,1961,2000,dokładnie,,34
29,1900,2020,,,16
30,1897,1939,dookoła,,17
31,1849,2000,dokładnie,,18
32,1875,2000,,,19
33,1841,1964,przybliżona,#Bieniecki_1972,20
34,1908,1947,przybliżona,#Omilanowska_2004_a,21
35,1805,1906,dookoła,#Majewski_2003_a,22
35,1906,1944,dookoła,#Machlejd_2006,23
36,1893,2000,dokładnie,#Gagatnicki_1893,24
37,1886,1944,przybliżona,#Przewodnik_1893_a,25
37,1945,2000,przybliżona,#Szwankowski_1952_a,25
38,1877,1944,przybliżona,#Marcinkowski_2013_a,26
39,1823,1877,przybliżona,#Marcinkowski_2013_a,26
40,1841,1939,przybliżona,#Omilanowska_2004_b,27
41,1902,2000,dokładnie,#Omilanowska_2004_c,28
42,1911,1954,przybliżona,#Majewski_2003_b,29
43,1894,1944,przybliżona,#Majewski_2003_c,30
44,1902,1915,przybliżona,#Majewski_2003_d,31
45,1925,1944,dokładnie,,32
46,1866,1939,dokładnie,,33
20,1643,,przybliżona,#Jarzębski_1974,35
22,1499,1553,prawdopodobna,#Mrozowski_2020,36
23,1565,1567,prawdopodobna,#Mrozowski_2020,37
47,1819,1897,dokładnie,#Kunkel_2006,6
48,1888,1844,dokładnie,#Zbior_Korotyńskich_72/1001/0/5/24,38
51,1911,2000,dokładnie,#Łupienko_2017,40
52,1912,1944,przybliżona,#Łupienko_2017,41
53,1870,1936,dookoła,#Szwankowski_1970_a,42
54,1883,2000,dokładnie,#Jaroszewski_1975,43
55,1818,1942,przybliżona,#Szwankowski_1970_b,44
49,1897,1907,dokładnie,#GmachDawnejPanoramy,45
56,1907,1910,dokładnie,#GmachDawnejPanoramy,45
57,1910,1913,dokładnie,#GmachDawnejPanoramy,45
58,1913,1921,dokładnie,#GmachDawnejPanoramy,45
59,1921,1939,dokładnie,#GmachDawnejPanoramy,45
60,1896,1913,dokładnie,#WarsztatySamochodoweDynasy,46
61,1913,1938,dokładnie,#WarsztatySamochodoweDynasy,46
62,1938,1939,dokładnie,#WarsztatySamochodoweDynasy,46
63,1939,2000,dokładnie,,46
64,1897,1904,dokładnie,#Słowo_184_1904,47
65,1901,1995,dokładnie,,48
66,1923,2000,dokładnie,,49
67,1926,200,dokładnie,,50
68,1894,1915,przybliżona,#Sosna_KatSobor,51
69,1915,1918,przybliżona,#Sosna_KatSobor,51
70,1918,1926,przybliżona,#Sosna_KatSobor,51
71,1869,1915,przybliżona,#Schiller-Walicka_2016,52
73,1857,1858,dokładnie,#Szwarc_2016,54
72,1862,1869,dokładnie,#Szwarc_2016,52
73,1858,1862,dokładnie,#Szwarc_2016,53
74,1861,1862,dokładnie,#Szwarc_2016,55
72,1862,1869,dokładnie,#Szwarc_2016,53
75,1862,1894,dokładnie,#Szwarc_2016,56
76,1865,,dokładnie,#Szwarc_2016,57
77,1388,1821,przybliżona,,58
78,1350,1825,przybliżona,,59
79,1388,2000,dokładnie,,60
80,1662,1807,dokładnie,,61
80,1815,1819,dokładnie,,61
81,1300,1825,dokładnie,,62
81,1825,2000,dokładnie,,63
82,1376,,prawdopodobna,,64
83,1325,1350,dokładnie,,65
83,1350,,dokładnie,,65
84,1450,,dokładnie,,66
85,1548,1818,dokładnie,,67
86,1300,2000,dokładnie,,68
87,1408,1552,prawdopodobna,,69
88,1300,1804,dokładnie,,70
88,1804,2000,dokładnie,,70
89,1617,1804,dokładnie,,71
90,1300,2000,dokładnie,,72
91,1606,1944,dokładnie,,73
92,1638,1864,dokładnie,,74
93,1606,2000,dokładnie,,75
94,1466,2000,dokładnie,,76
95,1818,1944,dokładnie,,77
96,1864,1944,dokładnie,,74
97,1300,1408,dokładnie,,78
97,1408,1791,dokładnie,,79
97,1791,2000,dokładnie,,80
98,1408,1791,dokładnie,,81
99,1408,1791,dokładnie,,82
100,1408,1791,dokładnie,,83
101,1408,1650,prawdopodobna,,84
99,1300,1408,dokładnie,,82
102,1408,2000,dokładnie,,85
103,1913,1944,dokładnie,,86
104,1350,1791,przybliżona,,87
105,1600,1791,przybliżona,,88
106,1600,1943,dokładnie,,89
107,1638,1791,przybliżona,,90
108,1638,2000,dokładnie,,91
109,1643,2000,dokładnie,,92
110,1615,1892,dokładnie,,93
111,1903,1944,dokładnie,,93
112,1615,1892,przybliżona,,93
113,1615,1807,przybliżona,,93
114,1880,1915,przybliżona,#Marcinkowski_2013_b,94
115,1824,1945,przybliżona,#Wikipedia,95
116,1906,1950,przybliżona,#Jaroszewski_1996,96
117,1916,2000,dokładnie,#Jaroszewski_1996,97
118,1870,1944,przybliżona,#Markiewicz_et_al_2012,98
119,1784,1944,przybliżona,#Sobieszczański_1967,99
120,1818,1942,przybliżona,#Szwankowski_1970_c,100
121,1683,1775,dokładnie,,101
122,1775,2000,dokładnie,,101
123,1846,1919,dokładnie,,102
124,1919,1947,dokładnie,,102
