identifiers,the_geom_X_Y,names,location_dataset_identifers
1,"52.25068853563155, 21.012523999846863",Baszta Biała,
2,"52.248166445133876, 21.01419457829904",kaplica św. Małgorzaty,
3,"52.24821124787931, 21.012453430954597",zespół klasztorny augustianów-eremitów,
4,"52.24842528487927, 21.012473730092783",kościół św. Marcina,
5,"52.24807416256469, 21.012982208427154","kamienica stanowiąca część klasztoru augustianów-eremitów (Piwna 7, nr hip. 114)",
6,"52.2518100, 21.0074700",kościół św. Jerzego w Warszawie,
7,"52.2258433, 20.9601870","Elewator 1, Miejskie Elewatory Zbożowe, ul. Bema 60a",#GoogleMaps
8,"52.2525400, 21.0135800","przeprawa przez Wisłę, okolice dzisiejszej ulicy Mostowej",
9,"52.24722998541573, 21.051610211246082",Rogatka Grochowska I (południowa),#Lindley
10,"52.247794897657954, 21.051749686105747",Rogatka Grochowska II (północna),#GoogleMaps
11,"52.25276108113371, 20.977969097884504",Cmentarz Powązkowski,#Fotomapa1935
16,"52.23415596845132, 21.009869238945598","Gmach Towarzystwa Ubezpieczeń ""Rossya""",#GoogleMaps
17,"52.23718111160122, 21.008166500209537","Gmach Domu Mody ""Bogusław Herse""",#Fotomapa1935
18,"52.238237048080045, 20.99258047850341",Kościół p.w. św. Karola Boromeusza,#GoogleMaps
19,"52.237242454177654, 21.0058460847311",Pałac Jakuba Janasza,#GoogleMaps
20,"52.23735827563949, 20.990022682063692",Kamienica Jana Józefa Manzla przy ul. Chłodnej nr hip. 927B,#Lindley
21,"52.22956699726129, 20.989652752987514",Hala hurtowa na placu Witkowskiego/Kazimierza Wielkiego,#Fotomapa1935
22,"52.23327292582196, 20.992696497985396","Ogród handlowy Ulrichów, nr hip. 1117",#Lindley
23,"52.23327292582196, 20.992696497985396","Ogród handlowy Ulrichów, nr hip. 1117",#Fotomapa1935
24,"52.23545458846053, 21.003340853060365",Kościół p.w. Wszystkich Świętych w Warszawie,#GoogleMaps
25,"52.22656228161761, 21.00750922871147",Kościół p.w. św. Piotra i Pawła w Warszawie,#GoogleMaps
26,"52.238090962416095, 21.00537339346967",Gmach giełdy warszawskiej,#Lindley
118,"52.238090962416095, 21.00537339346967",Ujeżdżalnia przy ul. Królewskiej,#Lindley
27,"52.23971218509781, 21.002782030135094",Gościnny Dwór,#Lindley
28,"52.238930359884925, 20.99761073117185",Hale Mirowskie,#GoogleMaps
29,"52.234823429714076, 21.007183507764008","Kamienica Bractwa Subiektów Handlowych, nr hip. 1414a",#Fotomapa1935
30,"52.23435688674018, 21.00865842612838","Kamienica Braci Zambonich (neogotycka), nr hip. 1379",#Lindley
31,"52.22639868943129, 20.994626600929006",Dworzec Kaliski,#Fotomapa1935
32,"52.25594900439654, 21.05439649913739",Zajezdnia tramwajowa na Pradze,#Fotomapa1935
33,"52.25093523770945, 21.04833495591725",Dworzec Terespolski,#Fotomapa1935
34,"52.247794897657954, 21.051749686105747",Rogatka Grochowska II,#Lindley
35,"52.2478133163207, 21.02822629569565",spichlerz zbożowy na Skaryszewie,#Perthees
36,"52.24396857898773, 21.021288712173188",cegielnia miejska Starej Warszawy,#Mrozowski_2020
37,"52.245374017741064, 21.022634988705338",przystań miejska Starej Warszawy,#Mrozowski_2020
38,"52.251844588418436, 21.03082724008169",kościół św. Michała Archanioła i Floriana,#GoogleMaps
39,"52.22273147313137, 21.01977618464994",Mokotowska,
40,"52.238100755089185, 21.010635518811753","Kamienica zboru luterańskiego, nr hip. 1066J (Kredytowa 4)",#GoogleMaps
41,"52.23845190722721, 21.010877293117264","Dom parafialny zboru luterańskiego, nr hip. 1066J (Plac Ewangelicki)",#Fotomapa1935
42,"52.226299675701036, 21.005056457786562","Ogród pomologiczny, nr hip. 1600A",#Lindley
43,"52.23728815274099, 21.01000653183161","Pałac Szlenkierów, nr hip. 5294",#GoogleMaps
44,"52.22501798356567, 20.989582549994676","Rogatki jerozolimskie, nr hip. 1582F",#Lindley
45,"52.24257954434774, 21.017115120566146",Rotunda na Karowej (teren obecnej ul. Karowej 18a),#Lindley
46,"52.239244, 21.022134",Rotunda na Dynasach,#GoogleMaps
47,"52.24142860372724, 21.02519130870737",Miejska Fabryka Betonu ul. Dobra 72,#Lindley
48,"52.26331058316724, 21.050856071052756",Stacja Warszawa Stalowa,#Fotomapa1935
49,"52.25887944977987, 21.059582945360745",Bazylika na Kawęczyńskiej,#Fotomapa1935
50,"52.259414662266934, 21.057474729027064",Szkoła (ul. Otwocka),#Fotomapa1935
51,"52.241165, 21.012682",Sobór św. Aleksandra Newskiego na Pl. Saskim,#Lindley
52,"52.24062638411823, 21.018540750077108",kampus UW przy Krakowskim Przedmieściu,#Lindley
53,"52.23791889182027, 21.01809453202634",Pałac Staszica,#GoogleMaps
54,"52.24935910656511, 21.013318306179304","budynki pojezuickie na Starym Mieście, dawny Wydział Lekarski UW",
55,"52.2256811355311, 21.028325911245236",Aleksandryjsko-Maryjski Instytut Wychowania Panien (dawny Instytut Szlachecki) ul. Wiejska 6/8,
56,"52.24084963268228, 21.020307226587303",Pałac Kazimierzowski,#GoogleMaps
57,"52.23954196986328, 21.01856065604423",Budynek Pomuzealny UW,#GoogleMaps
58,"52.250551725206, 21.00961916414927",Szpital św. Ducha,
59,"52.25045812687483, 21.010536479671806",Brama Nowomiejska,
60,"52.25065230214322, 21.009143072071787",Kościół św. Ducha,#Lindley
61,"52.250481526479305, 21.009011643824405",Klasztor paulinów,#Plan1808
62,"52.25019498313577, 21.010934787708283",Ulica Nowomiejska,#Plan1768
63,"52.2501949831357, 21.01093478770828",Ulica Nowomiejska,#Lindley
64,"52.250817329928665, 21.00976802677931",Łaźnia przy Bramie Nowomiejskiej,
65,"52.248838598136985, 21.010261553244913",Pierwsza linia murów miejskich,
66,"52.24878132205401, 21.0100798352685",Druga linia murów miejskich,
67,"52.2506225019082, 21.010155711140786",Barbakan,
68,"52.24974809013082, 21.01029518601187",Szeroki Dunaj,#Lindley
69,"52.249510805464894, 21.010751161557437",Łaźnia wójtowska,
70,"52.249624111102214, 21.010858449922647",Wąski Dunaj,#Lindley
71,"52.24911423345034, 21.00981507058835",Brama Poboczna,
72,"52.25073699715617, 21.01134382023915",Krzywe Koło,#Lindley
73,"52.25136097839556, 21.009318752429305",Kościół św. Jacka,#Lindley
74,"52.2518806823811, 21.009953094863114",Klasztor dominikanów,#Lindley
75,"52.25173782596747, 21.009544057986144",Zespół klasztorny dominikanów,#Lindley
76,"52.249792352214676, 21.011320471606787","Kamienica ""Pod świętą Anną""",#Lindley
77,"52.25070521631351, 21.010189609986327","""Piwnica Gdańska""",#Lindley
78,"52.25153691626514, 21.0082798771660",Freta,#Lindley
79,"52.25153691626514, 21.00827987716609",Freta,#Lindely
80,"52.25153691626514, 21.008279877166",Freta,#Lindley
81,"52.25204758708843, 21.0078976623851",Freta Nowomiejskie,#Lindley
119,"52.250865615363665, 21.009117930037608",Północne przedmieście Starej Warszawy,#Lindley
82,"52.250865615363665, 21.00911793003760",Północne przedmieście Starej Warszawy,#Lindley
83,"52.252982749574194, 21.008326339498016",Nowa Warszawa,#Lindley
84,"52.252059944813695, 21.008991527320315",Ulica zatylna za południową pierzeją rynku Nowego Miasta,#AHPMazowsze
85,"52.25280213094547, 21.008117127123352",Rynek Nowego Miasta,#Lindley
95,"52.25280213094547, 21.00811712712335",Rynek Nowego Miasta,#Lindley
94,"52.25280213094547, 21.0081171271233",Rynek Nowego Miasta,#Lindley
86,"52.252148613719605, 21.007151531902206",Hala Świętojerska,#Fotomapa1935
87,"52.25113055262903, 21.00295655698398",Jurydyka Świętojerska,
88,"52.25217816997082, 20.98417036507179",Jurydyka Parysowska,
89,"52.25237521121917, 20.984052347870062",Plac Parysowski,#Lindley
90,"52.24760501997195, 21.010162725437123",Jurydyka Zadzikowska,
91,"52.24766742289438, 21.010227098456248",Ulica Kapitulna,#Lindley
92,"52.245883978423315, 21.001295342357515",Arsenał,#Lindley
93,"52.246166444012545, 21.002159013697447",Zespół klasztorny brygidek; Koszary po klasztorze brygidek,#Fotoplan1935
120,"52.246166444012545, 21.00215901369744",Pasaż Simmonsa,#Fotoplan1935
121,"52.246166444012545, 21.0021590136974",Klasztor brygidek,
122,"52.246166444012545, 21.002159013697",Kościół Św. Trójcy,
190,"52.258758, 20.995367",Dworzec Gdański,
191,"52.254592514935624, 20.98936796816927",Plac Broni,"Plan Warszawy, Wyd. M. Arcta [1920]"
96,"52.233730531103376, 21.01055892371011","Dom firmy Gebethner i Wolff, nr hip. 6391",#Fotoplan1935
97,"52.23758561997814, 21.009777521153445","Kamienica Goldstanda, nr hip. 1066C",#GoogleMaps
123,"52.23758561997814, 21.009777521153445","Kamienica Goldstanda, nr hip. 1066C",#GoogleMaps
98,"52.22714990480268, 20.988840695471286","Zakłady metalurgiczne Hantkego, nr hip. 1147K",#Lindley
99,"52.237423366147155, 20.981047536855506","Browar Hermana Junga, nr hip. 849",#Lindley
100,"52.2355812231545, 20.980690161199597",Rogatki wolskie,#Lindley
101,"52.2151723770801, 21.03584618435141",pawilon Łaźni Łazienki,
102,"52.215090207828574, 21.035148810023923",pawilon Łaźni Łazienki zachodnie skrzydło,
103,"52.260410710533776, 20.993060298074422",Fort Mierosławskiego,#Fotoplan1935
104,"52.26442111389911, 21.000722411342153",Cytadela Warszawska,
105,"52.24379222599044, 21.010259457018975",Teatr Wielki,#Lindley
106,"52.241279, 21.005720",Teatr Letni,#Lindley
107,"52.243949888862566, 21.009245581713348",Marywil,#Plan1808
108,"52.24400244302698, 21.01105339066713",Pałac Pociejów; Targowisko Pociejów; Dom pod Kolumnami,#KorpusKadetow
109,"52.243135291335875, 21.007362670927236",Galeria Luxenburga,#Fotoplan1935
110,"52.24417324362816, 21.01113922130464",Pociejów,
111,"52.24417324362816, 21.01113922130464",Plac Pociejów,#Plan1808
112,"52.243949888862566, 21.009245581713348",Marywil,#KorpusKadetów
113,"52.24447871230064, 21.010661788079457",Plac Aleksandrowski,#KorpusKadetów
114,"52.24418638210896, 21.009808845576043",Plac Teatralny,#Lindley
115,"52.237621343550906, 21.009127659470373",Targowisko Pociejów,#KorpusKadetów
116,"52.23642883414449, 21.006230873752283",Targowisko Pociejów,#Lindley
117,"52.244738, 21.009120",Pałac Jabłonowskich,#Plan1808
124,"52.24353452325097, 20.99055728568058",Nowolipie,#Lindley
125,"52.24191994958461, 20.993704986538134",Leszno (jurydyka),#Lindley
126,"52.24191994958461, 20.993704986538134",Leszno (jurydyka),#Lindley
127,"52.24475134610973, 21.002277326547432",Tłomackie,#Lindley
128,"52.242327, 20.995928",Ratusz Leszna,#Lindley
129,"52.242425, 20.996195",Kamienica Jacobsona,#Lindley
130,"52.24466133247838, 21.002193978158868",Gruba Kaśka,#Lindley
131,"52.243909, 21.002623",Wielka Synagoga,#Lindley
132,"52.244386, 21.002234",Plac Tłomackie,#Lindley
133,"52.24440024141326, 21.002827156461432",Gmach Głównej Biblioteki Judaistycznej,#GoogleMaps
134,"52.238795885851935, 20.99709944131609",Koszary Mirowskie,#KorpusKadetów
135,"52.238565933943065, 20.995232623825583",Koszary Mirowskie,
136,"52.238795885851935, 20.99709944131609",Plac Mirowski,#KorpusKadetów
137,"52.240523772098385, 21.008429092305708",Ogród Saski,#Plan1808
138,"52.240523772098385, 21.008429092305708",Ogród Saski,#Fotoplan1935
139,"52.23831338273693, 21.006129089965782",Operalnia,#Plan1768
140,"52.24229419906147, 21.004982946625987",Pałac Błękitny,#Lindley
141,"52.239537, 21.003322",Żelazna Brama,#Plan1768
142,"52.240523772098385, 21.008429092305708",Ogród Saski,#Lindley
143,"52.2258433, 20.9601870","Elewator 2, Miejskie Elewatory Zbożowe, ul. Bema 60a",#GoogleMaps
144,"52.2258433, 20.9601870","Elewator 3, Miejskie Elewatory Zbożowe, ul. Bema 60a",#GoogleMaps
145,"52.244738, 21.009120",Ratusz Warszawy,#Lindley
146,"52.24925191127749, 21.00384239828338",Pałac Krasińskich,#Plan1768
147,"52.24925191127749, 21.00384239828338",Pałac Rzeczypospolitej,#Plan1768
148,"52.24925191127749, 21.00384239828338",Pałac Krasińskich,#KorpusKadetów
149,"52.24925191127749, 21.00384239828338",Pałac Sądów(?),#Lindley
150,"52.24925191127749, 21.00384239828338",Sąd Najwyższy,#Fotoplan1935
151,"52.248835, 21.004942",Pałac Badenich,#Lindley
152,"52.248835, 21.004942",Muzeum Przemysłu i Rolnictwa w Warszawie,#Lindley
153,"52.248835, 21.004942",Sąd Apelacyjny,#Fotoplan1935
154,"52.24856878311388, 21.002072140257425",Ogród Krasińskich,#Lindley
155,"52.249549, 21.004411",Plac Krasińskich,#Lindley
156,"52.24925191127749, 21.00384239828338",Założenie pałacowe Pałacu Krasińskich,#Plan1808
157,"52.248509, 21.005438",Komora Celna,#KorpusKadetów
158,"52.248509, 21.005438",Archiwum Główne Królestwa Polskiego,#Lindley
159,"52.248509, 21.005438",Warszawskie Archiwum Główne Akt Dawnych Królestwa Polskiego,#Lindley
160,"52.248509, 21.005438",Archiwum Główne Akt Dawnych,#Fotoplan1935
161,"52.245848, 21.014239",Muzeum Przemysłu i Rolnictwa w Warszawie,#Fotoplan1935
162,"52.248906544967596, 21.00696913967686",Kościół pijarów pw. Matki Bożej Zwycięskiej,#Plan1768
163,"52.248906544967596, 21.00696913967686",Kościół pijarów pw. Matki Bożej Zwycięskiej i św. św. Pryma i Felicjana,#KorpusKadetów
164,"52.248906544967596, 21.00696913967686",Sobór Trójcy Świętej,#Lindley
165,"52.248906544967596, 21.00696913967686",Kościół wojskowy,#Lindley
166,"52.248906544967596, 21.00696913967686",Katedra Polowa Wojska Polskiego,#Fotoplan1935
167,"52.243147487171626, 21.016637733801034",Teatr Narodowy,#Plan1768
168,"52.250103, 21.005419",Teatr Narodowy,#KorpusKadetów
169,"52.250103, 21.005419",Kamienica Ryxa,#KorpusKadetów
170,"52.250103, 21.005419",Teatr Narodowy,#KorpusKadetów
171,"52.250103, 21.005419",Składy w budynku dawnego Teatru Narodowego,#KorpusKadetów
172,"52.249991, 21.005120",Kamienica Doby Nowińskiej,#Lindley
173,"52.250862, 21.004499",Ulica Nowiniarska,#Tirregaille
174,"52.250862, 21.004499",Ulica Nowiniarska,#KorpusKadetów
175,"52.250862, 21.004499",Ulica Nowiniarska,#Lindley
176,"52.250862, 21.004499",Ulica Nowiniarska,#Lindley
177,"52.249974, 21.004017",Północna oficyna pałacu Krasińskich,#Lindley
178,"52.249974, 21.004017",Sąd Okręgowy,#Fotoplan1935
179,"52.249178, 21.006411",Pomnik Jana Kilińskiego,#Fotoplan1935
